GC-Content Regions without Overlap (start, stop, GC):
1, 1000, 32.7
1001, 2000, 33.9
2001, 3000, 32.8
3001, 4000, 39.2
4001, 5000, 37.6
5001, 6000, 33.2
6001, 7000, 31.2
7001, 8000, 38.4
8001, 9000, 31.0
9001, 10000, 36.8
10001, 11000, 41.2
11001, 12000, 34.8
12001, 13000, 34.9
13001, 14000, 36.3
14001, 15000, 38.6
15001, 16000, 39.2
16001, 17000, 37.0
17001, 18000, 39.8
18001, 19000, 39.4
19001, 20000, 31.4
20001, 21000, 32.8
21001, 22000, 36.8
22001, 23000, 30.2
23001, 24000, 31.6
24001, 25000, 30.7
25001, 26000, 38.3
26001, 27000, 33.8
27001, 28000, 35.0
28001, 29000, 35.3
29001, 30000, 32.3
30001, 31000, 28.8
31001, 32000, 35.2
32001, 33000, 41.1
33001, 34000, 27.7
34001, 35000, 47.1
35001, 36000, 42.4
36001, 37000, 31.0
37001, 38000, 31.0
38001, 39000, 30.3
39001, 40000, 31.9
40001, 41000, 29.8
41001, 42000, 32.1
42001, 43000, 34.3
43001, 44000, 34.1
44001, 45000, 30.9
45001, 46000, 38.4
46001, 47000, 31.7
47001, 48000, 26.5
48001, 49000, 27.4
49001, 50000, 31.0
50001, 51000, 26.5
51001, 52000, 28.3
52001, 53000, 33.1
53001, 54000, 30.6
54001, 55000, 32.2
55001, 56000, 26.2
56001, 57000, 28.4
