GC-Content Regions with Overlap (start, stop, GC):
1, 1000, 32.7
101, 1100, 32.2
201, 1200, 30.5
301, 1300, 30.2
401, 1400, 30.0
501, 1500, 30.7
601, 1600, 31.1
701, 1700, 30.4
801, 1800, 30.6
901, 1900, 30.8
1001, 2000, 33.9
1101, 2100, 34.6
1201, 2200, 34.5
1301, 2300, 33.3
1401, 2400, 32.9
1501, 2500, 32.4
1601, 2600, 30.8
1701, 2700, 33.1
1801, 2800, 33.7
1901, 2900, 34.2
2001, 3000, 32.8
2101, 3100, 31.7
2201, 3200, 32.8
2301, 3300, 34.4
2401, 3400, 34.6
2501, 3500, 34.6
2601, 3600, 36.5
2701, 3700, 35.7
2801, 3800, 37.5
2901, 3900, 37.8
3001, 4000, 39.2
3101, 4100, 41.2
3201, 4200, 43.0
3301, 4300, 43.3
3401, 4400, 44.5
3501, 4500, 45.6
3601, 4600, 45.1
3701, 4700, 44.7
3801, 4800, 42.8
3901, 4900, 40.5
4001, 5000, 37.6
4101, 5100, 35.5
4201, 5200, 34.1
4301, 5300, 32.6
4401, 5400, 31.4
4501, 5500, 29.6
4601, 5600, 28.5
4701, 5700, 27.4
4801, 5800, 28.8
4901, 5900, 30.3
5001, 6000, 33.2
5101, 6100, 33.8
5201, 6200, 33.5
5301, 6300, 34.9
5401, 6400, 34.7
5501, 6500, 36.3
5601, 6600, 37.6
5701, 6700, 37.2
5801, 6800, 34.7
5901, 6900, 34.6
6001, 7000, 31.2
6101, 7100, 30.8
6201, 7200, 32.0
6301, 7300, 31.2
6401, 7400, 30.6
6501, 7500, 30.8
6601, 7600, 31.5
6701, 7700, 33.9
6801, 7800, 36.1
6901, 7900, 36.6
7001, 8000, 38.4
7101, 8100, 38.5
7201, 8200, 37.2
7301, 8300, 36.7
7401, 8400, 36.2
7501, 8500, 35.1
7601, 8600, 33.2
7701, 8700, 32.2
7801, 8800, 32.0
7901, 8900, 32.1
8001, 9000, 31.0
8101, 9100, 30.9
8201, 9200, 31.9
8301, 9300, 33.4
8401, 9400, 35.4
8501, 9500, 35.0
8601, 9600, 36.3
8701, 9700, 35.2
8801, 9800, 35.7
8901, 9900, 35.1
9001, 10000, 36.8
9101, 10100, 38.0
9201, 10200, 38.4
9301, 10300, 39.2
9401, 10400, 38.8
9501, 10500, 40.7
9601, 10600, 41.3
9701, 10700, 42.7
9801, 10800, 42.1
9901, 10900, 42.6
10001, 11000, 41.2
10101, 11100, 41.4
10201, 11200, 40.9
10301, 11300, 39.2
10401, 11400, 39.0
10501, 11500, 38.6
10601, 11600, 37.6
10701, 11700, 36.7
10801, 11800, 35.9
10901, 11900, 34.3
11001, 12000, 34.8
11101, 12100, 32.3
11201, 12200, 31.2
11301, 12300, 31.8
11401, 12400, 31.5
11501, 12500, 30.3
11601, 12600, 30.8
11701, 12700, 31.5
11801, 12800, 32.4
11901, 12900, 34.2
12001, 13000, 34.9
12101, 13100, 36.3
12201, 13200, 37.1
12301, 13300, 36.5
12401, 13400, 37.7
12501, 13500, 38.8
12601, 13600, 38.7
12701, 13700, 38.1
12801, 13800, 37.6
12901, 13900, 36.7
13001, 14000, 36.3
13101, 14100, 36.6
13201, 14200, 37.2
13301, 14300, 37.7
13401, 14400, 37.0
13501, 14500, 37.4
13601, 14600, 37.0
13701, 14700, 37.6
13801, 14800, 38.1
13901, 14900, 38.6
14001, 15000, 38.6
14101, 15100, 39.8
14201, 15200, 39.6
14301, 15300, 39.9
14401, 15400, 40.1
14501, 15500, 39.9
14601, 15600, 39.3
14701, 15700, 39.7
14801, 15800, 39.6
14901, 15900, 38.9
15001, 16000, 39.2
15101, 16100, 38.0
15201, 16200, 36.8
15301, 16300, 36.7
15401, 16400, 36.6
15501, 16500, 36.3
15601, 16600, 36.6
15701, 16700, 35.8
15801, 16800, 36.3
15901, 16900, 36.7
16001, 17000, 37.0
16101, 17100, 37.5
16201, 17200, 38.1
16301, 17300, 38.2
16401, 17400, 37.9
16501, 17500, 37.6
16601, 17600, 38.6
16701, 17700, 39.1
16801, 17800, 38.4
16901, 17900, 39.4
17001, 18000, 39.8
17101, 18100, 39.5
17201, 18200, 40.1
17301, 18300, 39.7
17401, 18400, 40.3
17501, 18500, 39.9
17601, 18600, 40.1
17701, 18700, 39.5
17801, 18800, 40.3
17901, 18900, 39.9
18001, 19000, 39.4
18101, 19100, 39.4
18201, 19200, 39.4
18301, 19300, 39.2
18401, 19400, 37.4
18501, 19500, 37.1
18601, 19600, 35.3
18701, 19700, 35.3
18801, 19800, 33.1
18901, 19900, 31.3
19001, 20000, 31.4
19101, 20100, 32.4
19201, 20200, 30.2
19301, 20300, 29.6
19401, 20400, 30.8
19501, 20500, 31.2
19601, 20600, 30.8
19701, 20700, 31.8
19801, 20800, 32.0
19901, 20900, 33.6
20001, 21000, 32.8
20101, 21100, 33.2
20201, 21200, 34.4
20301, 21300, 34.1
20401, 21400, 33.8
20501, 21500, 33.6
20601, 21600, 35.4
20701, 21700, 35.2
20801, 21800, 36.5
20901, 21900, 36.3
21001, 22000, 36.8
21101, 22100, 33.5
21201, 22200, 33.8
21301, 22300, 33.8
21401, 22400, 34.3
21501, 22500, 33.7
21601, 22600, 32.0
21701, 22700, 30.3
21801, 22800, 30.5
21901, 22900, 30.4
22001, 23000, 30.2
22101, 23100, 32.2
22201, 23200, 32.0
22301, 23300, 32.3
22401, 23400, 31.8
22501, 23500, 33.1
22601, 23600, 34.1
22701, 23700, 35.8
22801, 23800, 34.7
22901, 23900, 33.7
23001, 24000, 31.6
23101, 24100, 30.1
23201, 24200, 28.9
23301, 24300, 29.1
